"302","2005","1085","5","0","English","2019-10-10 14:45:07.704","2019-10-10 14:45:07.704"
"303","2005","600","0","0","Spanish","2019-10-10 14:45:29.489","2019-10-10 14:45:29.489"
"304","2005","601","1","0","Spanish","2019-10-10 14:45:30.482","2019-10-10 14:45:30.482"
"305","2005","602","2","1","Spanish","2019-10-10 14:45:31.691","2019-10-10 14:45:31.691"
"306","2005","1680","3","0","Spanish","2019-10-10 14:45:32.714","2019-10-10 14:45:32.714"
"307","2005","1681","4","0","Spanish","2019-10-10 14:45:36.942","2019-10-10 14:45:36.942"
"308","2005","1682","5","0","Spanish","2019-10-10 14:45:37.999","2019-10-10 14:45:37.999"
"309","2005","31","0","0","English","2019-10-10 14:45:52.127","2019-10-10 14:45:52.127"
"310","2005","32","1","0","English","2019-10-10 14:46:04.235","2019-10-10 14:46:04.235"
"311","2005","33","2","0","English","2019-10-10 14:46:15.074","2019-10-10 14:46:15.074"
"312","2005","34","3","1","English","2019-10-10 14:46:17.597","2019-10-10 14:46:17.597"
"313","2005","35","4","0","English","2019-10-10 14:46:30.172","2019-10-10 14:46:30.172"
"314","2005","36","5","1","English","2019-10-10 14:46:33.759","2019-10-10 14:46:33.759"
"315","2005","1651","1","0","Spanish","2019-10-10 14:46:59.307","2019-10-10 14:46:59.307"
"316","2005","1650","0","0","Spanish","2019-10-10 14:47:03.612","2019-10-10 14:47:03.612"
"317","2005","1652","2","0","Spanish","2019-10-10 14:47:04.580","2019-10-10 14:47:04.580"
"318","2005","570","3","0","Spanish","2019-10-10 14:47:06.165","2019-10-10 14:47:06.165"
"319","2005","571","4","1","Spanish","2019-10-10 14:47:11.111","2019-10-10 14:47:11.111"
"320","2005","572","5","0","Spanish","2019-10-10 14:47:20.977","2019-10-10 14:47:20.977"
"321","2005","61","0","0","English","2019-10-10 14:47:31.365","2019-10-10 14:47:31.365"
"322","2005","1140","1","0","English","2019-10-10 14:47:32.605","2019-10-10 14:47:32.605"
"323","2005","62","2","0","English","2019-10-10 14:47:33.299","2019-10-10 14:47:33.299"
"324","2005","1141","3","1","English","2019-10-10 14:47:37.832","2019-10-10 14:47:37.832"
"325","2005","63","4","0","English","2019-10-10 14:47:41.174","2019-10-10 14:47:41.174"
"326","2005","1142","5","0","English","2019-10-10 14:47:41.938","2019-10-10 14:47:41.938"
"327","2005","1620","0","0","Spanish","2019-10-10 14:47:48.619","2019-10-10 14:47:48.619"
"328","2005","1621","1","0","Spanish","2019-10-10 14:47:49.641","2019-10-10 14:47:49.641"
"329","2005","1622","2","0","Spanish","2019-10-10 14:47:50.513","2019-10-10 14:47:50.513"
"330","2005","1623","3","0","Spanish","2019-10-10 14:47:52.009","2019-10-10 14:47:52.009"
"331","2005","1624","4","0","Spanish","2019-10-10 14:47:53.189","2019-10-10 14:47:53.189"
"332","2005","1625","5","0","Spanish","2019-10-10 14:47:54.855","2019-10-10 14:47:54.855"
"333","2005","91","0","0","English","2019-10-10 14:48:15.637","2019-10-10 14:48:15.637"
"334","2005","92","1","0","English","2019-10-10 14:48:28.636","2019-10-10 14:48:28.636"
"335","2005","93","2","0","English","2019-10-10 14:48:32.011","2019-10-10 14:48:32.011"
"336","2005","1170","3","0","English","2019-10-10 14:48:32.802","2019-10-10 14:48:32.802"
"337","2005","1171","4","0","English","2019-10-10 14:48:40.305","2019-10-10 14:48:40.305"
"338","2005","1172","5","0","English","2019-10-10 14:48:42.242","2019-10-10 14:48:42.242"
"339","2005","511","0","0","Spanish","2019-10-10 14:48:56.163","2019-10-10 14:48:56.163"
"340","2005","512","1","0","Spanish","2019-10-10 14:48:57.067","2019-10-10 14:48:57.067"
"341","2005","513","2","0","Spanish","2019-10-10 14:48:58.841","2019-10-10 14:48:58.841"
"342","2005","514","3","1","Spanish","2019-10-10 14:49:03.110","2019-10-10 14:49:03.110"
"343","2005","515","4","0","Spanish","2019-10-10 14:49:05.306","2019-10-10 14:49:05.306"
"344","2005","516","5","0","Spanish","2019-10-10 14:49:13.796","2019-10-10 14:49:13.796"
